time iter num.topics num.tables likelihood gamma alpha split merge trial
    0.00 00272 0005 00388 -3833.18960 0.10000 1.00000 0 0 0
    0.00 00273 0005 00394 -3757.54631 0.10000 1.00000 0 0 0
    0.00 00274 0005 00383 -3752.87531 0.10000 1.00000 0 0 0
    0.00 00275 0005 00390 -3748.86553 0.10000 1.00000 0 0 0
    0.00 00276 0005 00393 -3750.10373 0.10000 1.00000 0 0 0
    0.00 00277 0005 00395 -3732.98358 0.10000 1.00000 0 0 0
    0.00 00278 0005 00387 -3750.39635 0.10000 1.00000 0 0 0
    0.00 00279 0005 00388 -3747.87858 0.10000 1.00000 0 0 0
    0.00 00280 0005 00391 -3709.60642 0.10000 1.00000 0 0 0
    0.00 00281 0005 00390 -3698.54495 0.10000 1.00000 0 0 0
    0.00 00282 0005 00394 -3722.84366 0.10000 1.00000 0 0 0
    0.00 00283 0005 00388 -3744.24778 0.10000 1.00000 0 0 0
    0.00 00284 0005 00398 -3711.40691 0.10000 1.00000 0 0 0
    0.00 00285 0005 00399 -3724.63025 0.10000 1.00000 0 0 0
    0.00 00286 0005 00383 -3771.23074 0.10000 1.00000 0 0 0
    0.00 00287 0005 00408 -3749.80731 0.10000 1.00000 0 0 0
    0.00 00288 0005 00388 -3688.26428 0.10000 1.00000 0 0 0
    0.00 00289 0005 00370 -3703.45552 0.10000 1.00000 0 0 0
    0.00 00290 0005 00382 -3735.55389 0.10000 1.00000 0 0 0
    0.00 00291 0005 00394 -3755.52545 0.10000 1.00000 0 0 0
    0.00 00292 0005 00379 -3744.40786 0.10000 1.00000 0 0 0
    0.00 00293 0005 00374 -3746.78120 0.10000 1.00000 0 0 0
    0.00 00294 0005 00385 -3808.25418 0.10000 1.00000 0 0 0
    0.00 00295 0005 00383 -3792.82541 0.10000 1.00000 0 0 0
    0.00 00296 0005 00382 -3747.44915 0.10000 1.00000 0 0 0
    0.00 00297 0005 00384 -3743.49044 0.10000 1.00000 0 0 0
    0.00 00298 0005 00390 -3789.78966 0.10000 1.00000 0 0 0
    0.00 00299 0005 00395 -3819.78982 0.10000 1.00000 0 0 0
